"id","componente_id","numero_estandar","nombre","descripcion","marco_legal","puntaje_tipo1","puntaje_tipo2","puntaje_tipo3","puntaje_tipo4","criterios_verificacion","orden","activo"
"std-3.1.4","comp-sst-3","3.1.4","Evaluaciones médicas ocupacionales, pre ingreso, periodicos","Realizar los exámenes médicos ocupacionales de ingreso, periódicos conforme a lo establecido en la normatividad y los riesgos a los que están expuestos los trabajadores.","Resolución 2346 de 2007; Resolución 1918 de 2009",,,"10","10","Registros de exámenes médicos de ingreso y periódicos; Cronograma de exámenes periódicos","26","1"
"std-3.1.5","comp-sst-3","3.1.5","Custodia de Historias Clínicas","Tener la custodia de las historias clínicas a cargo de una institución prestadora de servicios en SST o del médico que practica los exámenes laborales.","Resolución 2346 de 2007; Resolución 1918 de 2009",,,"10","10","Certificado de custodia de historias clínicas; Contrato con IPS para custodia de historias","27","1"
"std-3.1.6","comp-sst-3","3.1.6","Restricciones y recomendaciones médico laborales","Acatar las restricciones y recomendaciones médico laborales realizadas por parte de la Entidad Promotora de Salud (EPS) o Administradora de Riesgos Laborales (ARL).","Decreto 1072 de 2015; Ley 776 de 2002",,,"10","10","Registros de restricciones y recomendaciones médicas; Soportes de seguimiento a recomendaciones","28","1"
"std-3.1.7","comp-sst-3","3.1.7","Estilos de vida y entornos saludables (controles tabaquismo, alcoholismo, farmacodependencia y otros)","Elaborar y ejecutar un programa para promover entre los trabajadores estilos de vida saludables.","Decreto 1072 de 2015; Resolución 1075 de 1992; Ley 1335 de 2009",,,"10","10","Programa de estilos de vida saludables; Política de prevención de consumo de sustancias psicoactivas","29","1"
"std-3.1.8","comp-sst-3","3.1.8","Servicios de higiene agua potable, servicios sanitarios y disposición de basuras","Contar con un suministro permanente de agua potable, servicios sanitarios y mecanismos para disposición de excretas y de basuras en las instalaciones de la empresa.","Resolución 2400 de 1979; Decreto 1072 de 2015",,,"10","10","Certificado de potabilidad del agua; Verificación de servicios sanitarios; Plan de gestión de residuos","30","1"
"std-3.1.9","comp-sst-3","3.1.9","Manejo de residuos Eliminación adecuada de residuos sólidos, líquidos o gaseosos","Eliminar de forma segura los residuos sólidos, líquidos o gaseosos que se originen en los lugares de trabajo, de acuerdo con la normatividad vigente.","Decreto 4741 de 2005; Resolución 1164 de 2002; Decreto 1076 de 2015",,,"10","10","Plan de gestión integral de residuos; Registros de disposición de residuos peligrosos","31","1"
"std-3.2.1","comp-sst-3","3.2.1","Reporte de los accidentes de trabajo y enfermedad laboral a la ARL, EPS y Dirección Territorial del Ministerio de Trabajo","Reportar a la Administradora de Riesgos Laborales (ARL), Entidad Promotora de Salud (EPS) y la Dirección Territorial del Ministerio del Trabajo los accidentes de trabajo y enfermedades laborales.","Decreto 1072 de 2015, artículo 2.2.4.1.6; Resolución 156 de 2005",,"20","20","20","FURAT diligenciados y radicados; Registros de reporte de enfermedades laborales","32","1"
"std-3.2.2","comp-sst-3","3.2.2","Investigación de Accidentes, Incidentes y Enfermedad Laboral","Investigar los accidentes de trabajo y enfermedades laborales, determinando las causas básicas e inmediatas y la posibilidad que se presenten nuevos casos.","Resolución 1401 de 2007; Decreto 1072 de 2015, artículo 2.2.4.6.32",,"20","20","20","Informes de investigación de accidentes e incidentes; Análisis de causalidad; Planes de acción","33","1"
"std-3.2.3","comp-sst-3","3.2.3","Registro y análisis estadístico de Incidentes, Accidentes de Trabajo y Enfermedad Laboral","Llevar registro estadístico de los accidentes de trabajo, enfermedades laborales e incidentes que ocurren, y analizar este registro para identificar tendencias, causas o patrones.","Decreto 1072 de 2015, artículo 2.2.4.6.21",,,"10","10","Base de datos de accidentalidad; Análisis estadístico de accidentes; Informes de tendencias","34","1"
"std-3.3.1","comp-sst-3","3.3.1","Frecuencia de accidentalidad ,Medición de la severidad de los Accidentes de Trabajo y Enfermedad Laboral","Medir la severidad de los accidentes de trabajo como mínimo una vez al año y realizar la clasificación del origen del peligro/riesgo que los generó.","Decreto 1072 de 2015, artículo 2.2.4.6.21; Resolución 0312 de 2019",,,"10","10","Cálculo del índice de severidad; Análisis de severidad por tipo de lesión","35","1"
"std-3.3.2","comp-sst-3","3.3.2","Severidad de accidentalidad, Medición de la frecuencia de los Incidentes, Accidentes de Trabajo y Enfermedad Laboral","Medir la frecuencia de los incidentes, accidentes de trabajo y enfermedad laboral como mínimo una vez al año.","Decreto 1072 de 2015, artículo 2.2.4.6.21; Resolución 0312 de 2019",,,"10","10","Cálculo del índice de frecuencia; Análisis de frecuencia por área y proceso","36","1"
"std-3.3.3","comp-sst-3","3.3.3","Medición de la mortalidad de Accidentes de Trabajo y Enfermedad Laboral","Medir la mortalidad por accidentes de trabajo y enfermedades laborales como mínimo una vez al año.","Decreto 1072 de 2015, artículo 2.2.4.6.21; Resolución 0312 de 2019",,,"10","10","Cálculo del índice de mortalidad; Análisis de eventos mortales","37","1"
"std-3.3.4","comp-sst-3","3.3.4","Medición de la prevalencia de incidentes, Accidentes de Trabajo y Enfermedad Laboral","Medir la prevalencia de la enfermedad laboral como mínimo una vez al año.","Decreto 1072 de 2015, artículo 2.2.4.6.21; Resolución 0312 de 2019",,,"10","10","Cálculo de la prevalencia de enfermedad laboral; Análisis por tipo de enfermedad","38","1"
"std-3.3.5","comp-sst-3","3.3.5","Medición de la incidencia de Accidentes de Trabajo y Enfermedad Laboral","Medir la incidencia de la enfermedad laboral como mínimo una vez al año.","Decreto 1072 de 2015, artículo 2.2.4.6.21; Resolución 0312 de 2019",,,"10","10","Cálculo de la incidencia de enfermedad laboral; Análisis de nuevos casos","39","1"
"std-3.3.6","comp-sst-3","3.3.6","Medición del ausentismo por incidentes, Accidentes de Trabajo y Enfermedad Laboral","Medir el ausentismo por incidentes, accidentes de trabajo y enfermedad laboral como mínimo una vez al año.","Decreto 1072 de 2015, artículo 2.2.4.6.21; Resolución 0312 de 2019",,,"10","10","Cálculo del índice de ausentismo laboral; Análisis de días perdidos por causa","40","1"
"std-4.1.1","comp-sst-4","4.1.1","Metodología para identificación de peligros, evaluación y valoración de riesgos","Identificar los peligros, evaluar y valorar los riesgos con participación de todos los niveles de la empresa.","Decreto 1072 de 2015, artículos 2.2.4.6.15 y 2.2.4.6.23, GTC 45","40","40","40","40","Matriz de identificación de peligros, evaluación y valoración de riesgos actualizada","5","1"
"std-4.1.2","comp-sst-4","4.1.2","Identificación de peligros con participación de todos los niveles de la empresa","Realizar la identificación de peligros y evaluación y valoración de los riesgos con participación de los trabajadores de todos los niveles de la empresa.","Decreto 1072 de 2015, artículo 2.2.4.6.15, parágrafo 1",,"40","40","40","Registros de participación de trabajadores en identificación de peligros; Actas de reuniones con trabajadores","42","1"
"std-4.1.3","comp-sst-4","4.1.3","Identificación de sustancias catalogadas como carcinógenas o con toxicidad aguda.","Identificar la naturaleza de los peligros, priorizando los cancerígenos, tóxicos para la reproducción, neurotóxicos, inmunológicos, dermatotóxicos, sensibilizantes, genotóxicos, entre otros.","Decreto 1072 de 2015; Resolución 0312 de 2019; Ley 55 de 1993",,,"30","30","Matriz de sustancias químicas con clasificación de peligrosidad; Priorización de sustancias cancerígenas","43","1"
"std-4.1.4","comp-sst-4","4.1.4"," Mediciones ambientales, químicos, físicos y biológicos","Realizar mediciones ambientales cuando se requiera según la priorización de los riesgos, para dar cumplimiento a la identificación de peligros y valoración de riesgos.","Decreto 1072 de 2015, artículo 2.2.4.6.15; Resolución 2400 de 1979",,,"40","40","Informes de mediciones ambientales (ruido, iluminación, material particulado, etc.); Estudios higiénicos","44","1"
"std-4.2.1","comp-sst-4","4.2.1","Medidas de prevención y control frente a peligros/riesgos identificados","Ejecutar las medidas de prevención y control según la jerarquía de controles (eliminación, sustitución, controles de ingeniería, controles administrativos, equipos y elementos de protección personal y colectivo).","Decreto 1072 de 2015, artículo 2.2.4.6.24",,"25","25","25","Evidencia de implementación de controles; Seguimiento a la efectividad de controles","45","1"
"std-4.2.2","comp-sst-4","4.2.2","Aplicación de medidas de prevención y control por parte de los trabajadores","Verificar la aplicación por parte de la empresa de las medidas de prevención y control.","Decreto 1072 de 2015, artículo 2.2.4.6.24",,"25","25","25","Registros de verificación de controles implementados; Listas de chequeo de control operacional","46","1"
"std-4.2.3","comp-sst-4","4.2.3","Procedimientos e instructivos internos de seguridad y salud en el trabajo instructivos, fichas, protocolos","Elaborar procedimientos, instructivos y fichas técnicas de seguridad para las tareas de alto riesgo y de actividades rutinarias.","Decreto 1072 de 2015, artículo 2.2.4.6.24",,,"25","25","Procedimientos de trabajo seguro; Instructivos operacionales; Fichas de seguridad de productos químicos","47","1"
"std-4.2.4","comp-sst-4","4.2.4","Inspecciones a instalaciones, maquinaria o equipos","Realizar inspecciones sistemáticas a las instalaciones, maquinaria o equipos con la participación del COPASST o Vigía de SST.","Decreto 1072 de 2015; Resolución 2013 de 1986",,"25","25","25","Actas de inspección con participación del COPASST o Vigía; Cronograma de inspecciones","48","1"
"std-4.2.5","comp-sst-4","4.2.5","Mantenimiento periódico de instalaciones, equipos, máquinas, herramientas","Realizar el mantenimiento periódico de instalaciones, equipos, máquinas y herramientas, de acuerdo con los manuales de uso y los informes de las inspecciones realizadas.","Decreto 1072 de 2015, artículo 2.2.4.6.24; Resolución 2400 de 1979",,,"25","25","Programa de mantenimiento preventivo y correctivo; Registros de mantenimiento de equipos críticos","49","1"
"std-4.2.6","comp-sst-4","4.2.6","Entrega de Elementos de Protección Personal EPP y capacitacion en uso adecuado, se verifica con contratistas y subcontratistas","Suministrar a los trabajadores los elementos de protección personal que se requieran y verificar que sean utilizados, incluyendo los trabajadores en misión y contratistas.","Decreto 1072 de 2015, artículo 2.2.4.6.24; Resolución 2400 de 1979",,"25","25","25","Matriz de EPP por cargo; Registros de entrega de EPP; Verificación de uso de EPP por contratistas","50","1"
"std-5.1.1","comp-sst-5","5.1.1","Plan de prevención, preparación y respuesta ante emergencias","Implementar y mantener un plan de prevención, preparación y respuesta ante emergencias.","Decreto 1072 de 2015, artículo 2.2.4.6.25","10","10","10","10","Plan de emergencias documentado y socializado","6","1"
"std-5.1.2","comp-sst-5","5.1.2","Brigada de prevención, preparación y respuesta ante emergencias","Conformar, capacitar y dotar la brigada de emergencias, primeros auxilios, contra incendios, evacuación, etc., según las necesidades y el tamaño de la empresa.","Decreto 1072 de 2015, artículo 2.2.4.6.25; Ley 1523 de 2012",,,"50","50","Acta de conformación de brigada; Certificados de capacitación de brigadistas; Inventario de dotación de brigada","52","1"
"std-6.1.1","comp-sst-6","6.1.1","Definición de indicadores del Sistema de Gestión de Seguridad y Salud en el Trabajo","Realizar una auditoría anual del cumplimiento del Sistema de Gestión de la Seguridad y Salud en el Trabajo.","Decreto 1072 de 2015, artículo 2.2.4.6.29",,,"10","10","Informe de auditoría anual del SG-SST","7","1"
"std-6.1.2","comp-sst-6","6.1.2","Auditoría anual","Realizar una auditoría anual, que sea planificada con la participación del COPASST o Vigía de SST.","Decreto 1072 de 2015, artículos 2.2.4.6.29 y 2.2.4.6.30",,,"12","12","Programa de auditoría; Informe de auditoría anual del SG-SST; Plan de acción de hallazgos","54","1"
"std-6.1.3","comp-sst-6","6.1.3","Revisión por la alta dirección. Alcance de la auditoría del Sistema de Gestión","Revisar como mínimo una vez al año, por parte de la alta dirección los resultados del SG-SST.","Decreto 1072 de 2015, artículo 2.2.4.6.31",,,"13","13","Acta de revisión por la alta dirección; Informe de revisión gerencial del SG-SST","55","1"
"std-6.1.4","comp-sst-6","6.1.4","Planificar auditoría con el COPASST","Planificar la auditoría anual del cumplimiento del SG-SST con la participación del COPASST o Vigía.","Decreto 1072 de 2015, artículo 2.2.4.6.29",,,"12","12","Programa de auditoría con participación del COPASST; Acta de planificación de auditoría","56","1"
"std-7.1.1","comp-sst-7","7.1.1","Acciones preventivas y correctivas","Definir e implementar acciones preventivas y correctivas con base en los resultados del SG-SST.","Decreto 1072 de 2015, artículo 2.2.4.6.33","5","5","5","5","Registro de acciones preventivas y correctivas implementadas","8","1"
"std-7.1.2","comp-sst-7","7.1.2","Acciones de mejora conforme a revisión de la Alta Dirección","Cuando después de la revisión por la Alta Dirección del SG-SST se evidencie que las medidas de prevención y protección relativas a los peligros y riesgos son inadecuadas o pueden dejar de ser eficaces, tomar las medidas correctivas.","Decreto 1072 de 2015, artículo 2.2.4.6.34",,,"25","25","Acta de revisión por dirección con decisiones de mejora; Plan de mejoramiento continuo","58","1"
"std-7.1.3","comp-sst-7","7.1.3","Acciones de mejora con base en investigaciones de accidentes de trabajo y enfermedades","Definir e implementar acciones preventivas y/o correctivas producto de las investigaciones de los incidentes, accidentes de trabajo y enfermedades laborales.","Decreto 1072 de 2015, artículo 2.2.4.6.32; Resolución 1401 de 2007",,,"25","25","Plan de acción de investigaciones; Seguimiento a implementación de medidas de investigaciones","59","1"
"std-7.1.4","comp-sst-7","7.1.4","Plan de mejoramiento","Implementar las medidas y acciones correctivas producto de requerimientos o recomendaciones de autoridades administrativas y de la Administradora de Riesgos Laborales.","Decreto 1072 de 2015, artículo 2.2.4.6.34",,,"25","25","Registro de requerimientos de autoridades y ARL; Plan de acción de cumplimiento; Evidencia de implementación","60","1"
